nama,kota
RS KHUSUS BEDAH HASTA HUSADA,MALANG
RSIA MUHAMMADIYAH MALANG,MALANG
RS HIDAYAH BOYOLALI,BOYOLALI
RS BHAYANGKARA SEMARANG,SEMARANG
RSIA JIMMY MEDIKA BORNEO,SAMARINDA
RSU AFDILA CILACAP,CILACAP
RS ISLAM BOYOLALI,BOYOLALI
RSUP SURAKARTA,SURAKARTA (SOLO)
RS UNIVERSITAS SEBELAS MARET,SUKOHARJO
RS PKU MUHAMMADIYAH SRAGEN,SRAGEN
RS SAPTA MEDIKA,BATU BARA
RS UNIVERSITAS UDAYANA,BADUNG
RS GRAHA YASMINE DUMAI,DUMAI
RSIA MELATI CHILDREN HOSPITAL,MALANG
RSAU DR M HASSAN TOTO LANUD ATANG SENDJAJA,BOGOR
RSGM UNIVERSITAS JENDERAL ACHMAD YANI (UNJANI),CIMAHI
RS ISLAM SULTAN AGUNG BANJARBARU,BANJARBARU
RSUD BALARAJA,TANGERANG
RSUD GEMA SANTI NUSA PENIDA,KLUNGKUNG
RSU CITRA MEDIKA LAMONGAN,LAMONGAN
RSU ASTRINI WONOGIRI,WONOGIRI
RSU MURNI TEGUH TUBAN BALI,BADUNG
RS BHAYANGKARA DENPASAR,DENPASAR
HEARTOLOGY HOSPITAL,JAKARTA SELATAN
RSGM FKG UNIV PROF DR MOESTOPO (BERAGAMA),JAKARTA SELATAN
RSUD GRATI PASURUAN,PASURUAN
RS HERMINA SOREANG,BANDUNG
RS TK II UDAYANA,DENPASAR
RSUPN CIPTO MANGUNKUSUMO (NON KENCANA),JAKARTA PUSAT
RSU DR SUYUDI PACIRAN,LAMONGAN
RSGM UNIVERSITAS MUHAMMADIYAH SEMARANG,SEMARANG
RSU PINDAD MALANG,MALANG
RSUD NGIMBANG,LAMONGAN
RS INTAN MEDIKA,LAMONGAN
RS BHAYANGKARA WAHYU TUTUKO BOJONEGORO,BOJONEGORO
RSU MITRA MEDIKA PREMIER MEDAN,MEDAN
RS HIKMAH CITRA MEDIKA,WAJO
RSU DELIMA,MEDAN
RSUD DR MOHAMMAD ZYN KABUPATEN SAMPANG,SAMPANG
RS PKU MUHAMMADIYAH SAMPANGAN,SURAKARTA (SOLO)
RS MESRA,KAMPAR
RSUD TEMENGGUNG GERGAJI,SANGGAU
CHARITAS HOSPITAL KENTEN (RS.KARYA ASIH),PALEMBANG
SILOAM HOSPITALS AGORA,JAKARTA PUSAT
RSUD PRATAMA TELUK KERAMAT,SAMBAS
RSUD BUNG KARNO KOTA SURAKARTA,SURAKARTA (SOLO)
RS KUSUMA UNGARAN,SEMARANG
RSUD SULTAN MUHAMMAD JAMALUDIN I,KAYONG UTARA
RSUD DR M SOEWANDHIE SURABAYA,SURABAYA
RS OTAK & JANTUNG PERTAMINA ROYAL BIRINGKANAYA,MAKASSAR
RSUD PROVINSI NTB,MATARAM
RS MITRA PARAMEDIKA,SLEMAN
RS JANTUNG & PEMBULUH DARAH PARAMARTA BANDUNG,BANDUNG
RSUD PONDOK GEDE,BEKASI
RS JIH (PURWOKERTO),BANYUMAS
RSU DIPONEGORO DUA SATU KLATEN,KLATEN
RSU CEMPAKA LIMA,BANDA ACEH
RS DJATIROTO,LUMAJANG
RSUD BANDUNG KIWARI,BANDUNG
RSUD PALEMBANG BARI,PALEMBANG
RSIA PKU MUHAMMADIYAH CIPONDOH,TANGERANG
RSUP DR RIVAI ABDULLAH,BANYUASIN
RS SANSANI,PEKANBARU
RSU RAJAWALI CITRA,BANTUL
RSUD PANYABUNGAN,MANDAILING NATAL
RS METRO HOSPITALS M TOHA,TANGERANG
RSU AL-ISLAM HM MAWARDI,SIDOARJO
RS AMANAH MAHMUDAH,BREBES
RSIA MAMA PALEMBANG,PALEMBANG
RS UNIVERSITAS SUMATERA UTARA,MEDAN
RSU AISYIYAH PURWOREJO,PURWOREJO
RS UNIVERSITAS AHMAD DAHLAN,SLEMAN
RS MITRA KELUARGA DELTAMAS,BEKASI
RSUD CICALENGKA,BANDUNG
RSUD MUARA DUA,OGAN KOMERING ULU SELATAN
RSUD OKU TIMUR GUMAWANG,OGAN KOMERING ULU TIMUR
RSUP DR TADJUDDIN CHALID,MAKASSAR
RSIA RIZKI BUNDA,AGAM
RSU IBU KARTINI,ASAHAN
RSUD SULTAN FATAH KARANGAWEN,DEMAK
RSUD DR IBNU SUTOWO BATURAJA,OGAN KOMERING ULU
RS ISLAM AT-TAQWA GUMAWANG,OGAN KOMERING ULU TIMUR
RSU PKU MUHAMMADIYAH MOJOAGUNG,JOMBANG
RS TK II PUTRI HIJAU,MEDAN
RSU MARDI LESTARI,SRAGEN
RSI NYAI AGENG PINATIH GRESIK,GRESIK
RS TK II MOH RIDWAN MEURAKSA,JAKARTA TIMUR
RS ANUGRAH BUNDA JAYA,SINTANG
RSKIA ANNISA BANJARMASIN,BANJARMASIN
RSUD PANDAN ARANG BOYOLALI,BOYOLALI
RADJAK HOSPITAL CENGKARENG,JAKARTA BARAT
RSUD BUMIAYU,BREBES
RSUP DR SITANALA,TANGERANG
RSU BRIMEDIKA MALANG,MALANG
RS GRAHA MEDIKA BOGOR,BOGOR
RS MITRA HUSADA,TANGERANG
RSU PKU MUHAMMADIYAH AMANAH SUMPIUH,BANYUMAS
PRIMAYA HOSPITAL DEPOK,DEPOK
RSU WAVA HUSADA KESAMBEN,BLITAR
RS AMALIA MEDIKA,PELALAWAN
RS PKU AISYIYAH KENDAL,KENDAL
RSU SEGER WARAS,ASAHAN
RSU CITRA ARAFIQ SAWANGAN,DEPOK
RUMKITBAN 040805 (RS DKT WIRA HUSADA BLORA),BLORA
RSU TERE MARGARETH,MEDAN
RSIA ASY-SYIFA SANGATTA,KUTAI TIMUR
RSU MEDIKA DJAYA,PONTIANAK
RSUD SRENGAT BLITAR,BLITAR
RS MEDINA GARUT,GARUT
RSUD TONGAS KAB PROBOLINGGO,PROBOLINGGO
RS EFARINA ETAHAM PEMATANGSIANTAR,PEMATANG SIANTAR
RS BHAYANGKARA PALU,PALU
RSUD DR PALEMMAI TANDI,PALOPO
RS MATA BALI MANDARA PROVINSI BALI,DENPASAR
RS TAMAR MEDICAL CENTER,PARIAMAN
RS PKU MUHAMMADIYAH PEDAN,KLATEN
RS RAYHAN,SUBANG
RSIA NU CAKRA MEDIKA,BLORA
RS NUR ROHMAH,GUNUNG KIDUL
RS PELITA,KAMPAR
RSUD KAB MELAWI,MELAWI
RSUD BELIMBING,MELAWI
RSU SYIFA MEDINA,TASIKMALAYA
RS ISLAM AYSHA CIBINONG,BOGOR
RS HERMINA TASIKMALAYA,TASIKMALAYA
RSGM UGM PROF SOEDOMO,SLEMAN
RS PERMATA HUSADA BANTUL,BANTUL
RS KHUSUS MATA PROVINSI SUMATERA SELATAN,PALEMBANG
RSU ARGA HUSADA,KEDIRI
RSKIA HARYANDA,SIJUNJUNG (SAWAH LUNTO SIJUNJUNG)
RS PABATU,SERDANG BEDAGAI
RS ISLAM GIGI MULUT PENDIDIKAN SULTAN AGUNG,SEMARANG
RSUD TAMAN HUSADA BONTANG,BONTANG
RS SUCI PARAMITA,TANGERANG
RS MITRA DELIMA MALANG,MALANG
RS JASMINE BATAM,BATAM
RSU ANANDA BLITAR,BLITAR
RSU BUNDA MULIA ASAHAN,ASAHAN
RS TK IV SINTANG,SINTANG
RSU SAWIT INDAH PERBAUNGAN,SERDANG BEDAGAI
RSUD KAB SEKADAU,SEKADAU
RSUD DR HASRI AINUN HABIBIE PARE-PARE,PAREPARE
RS WILUJENG KEDIRI,KEDIRI
RS RASYIDA SIANTAR,PEMATANG SIANTAR
RS ANDIMAS,MERANGIN
RS MITRA KELUARGA PAMULANG,TANGERANG SELATAN
RS MITRA KELUARGA SLAWI,TEGAL
RSUD SIDOARJO BARAT,SIDOARJO
RS BHAYANGKARA BATAM POLDA KEPRI,BATAM
RS PKU AISYIYAH JEPARA,JEPARA
RS AWAL BROS BOTANIA BATAM,BATAM
RS AWAL BROS BAGAN BATU,ROKAN HILIR
RSU MUHAMMADIYAH SURYA MELATI KEDIRI,KEDIRI
RSUD KOTA BIMA,BIMA
MAYAPADA HOSPITAL BANDUNG,BANDUNG
RS HAMORI SUBANG,SUBANG
RSIA PERMATA INSANI,BREBES
RS ANDALUCIA SERANG,SERANG
RS UBAYA,SURABAYA
RS EKA HUSADA,GRESIK
RS HASTIEN RENGASDENGKLOK,KARAWANG
RSUD NGUDI WALUYO WLINGI BLITAR,BLITAR
RSUD DRS H AMRI TAMBUNAN,DELI SERDANG
RSIA ATHAYA MEDIKA,ROKAN HILIR
RSUD LUBAI ULU,MUARA ENIM
RSUD DR SOESELO SLAWI,TEGAL
RSUD AL-MULK,SUKABUMI
RSIA PARAHYANGAN,BANDUNG BARAT
RS MULIA HATI WONOGIRI,WONOGIRI
RS TK III SLAMET RIYADI SURAKARTA,SURAKARTA (SOLO)
RSU UNIVERSITAS MUHAMMADIYAH JEMBER,JEMBER
RSKIA PERMATA BUNDA YOGYAKARTA,YOGYAKARTA
RS JANTUNG DAN PEMBULUH DARAH TASIKMALAYA,TASIKMALAYA
RSKD DUREN SAWIT,JAKARTA TIMUR
RS MURNI TEGUH PEMATANG SIANTAR,PEMATANG SIANTAR
RSUD DR PIRNGADI,MEDAN
RSUD LEUWILIANG,BOGOR
RS UNIVERSITAS BRAWIJAYA,MALANG
RS PARAGON,BOGOR
RSUD KEMAYORAN,JAKARTA PUSAT
RS WINDU HUSADA,BADUNG
RSUD KABUPATEN TANGERANG,TANGERANG
RSUD BHAKTI DHARMA HUSADA SURABAYA,SURABAYA
OETOMO HOSPITAL,BANDUNG
RSIA BUDI MEDIKA KOLAKA,KOLAKA
RSU LINA,ASAHAN
RSIA DIAN PERTIWI,KARANGANYAR
RSU HAJI SYAIFUL ANWAR,SUBANG
RS KHUSUS BEDAH SINDUADI,SLEMAN
RSGM UNIVERSITAS MUHAMMADIYAH YOGYAKARTA,YOGYAKARTA
RS SARKIES AISYIYAH KUDUS,KUDUS
RSJ DR YAUNIN,PADANG
RS ISLAM GUNUNG KIDUL,GUNUNG KIDUL
RS PKU MUHAMMADIYAH KARTASURA,SUKOHARJO
RSU BIDADARI BATUBARA,BATU BARA
RS MITRA SEHAT SITUBONDO,SITUBONDO
RS PKU MUHAMMADIYAH MAYONG JEPARA,JEPARA
RS RUMKITAL DR OEPOMO,SURABAYA
RS SEKAR LARAS,GROBOGAN
RS HERMINA CIAWI,BOGOR
RSUD KEBAYORAN LAMA,JAKARTA SELATAN
RS TK IV PEKANBARU,PEKANBARU
RS AWAL BROS DUMAI,DUMAI
RS ADVENT PALANGKA RAYA,PALANGKA RAYA
RS COLUMBIA ASIA AKSARA,MEDAN
RS AS-SYIFA MANNA,BENGKULU SELATAN
RSUD TUGU KOJA,JAKARTA UTARA
RSUD MERAH PUTIH,MAGELANG
RUMKITBAN 05.08.03 SIDOARJO,SIDOARJO
RSUD KHIDMAT SEHAT AFIAT KISA DEPOK,DEPOK
RS MITRA KELUARGA GRAND WISATA,BEKASI
RS MUHAMMADIYAH BANDUNG SELATAN,BANDUNG
RS HERMINA ACEH,BANDA ACEH
RSJP MELINDA CARDIO VASCULAR CENTER,BANDUNG
RS MATA MAKASSAR,MAKASSAR
RS REGINA MARIS,MEDAN
PRIMAYA HOSPITAL HERTASNING,MAKASSAR
RS PKU MUHAMMADIYAH PETANAHAN,KEBUMEN
RSU PKU MUHAMMADIYAH PURBALINGGA,PURBALINGGA
RS KHUSUS MATA JEC ORBITA MAKASSAR,MAKASSAR
RSUD SINGAPARNA MEDIKA CITRA UTAMA KAB TASIKMALAYA,TASIKMALAYA
RSU MAHAWIRA PRIMA INDONESIA,DELI SERDANG
