nama,kota
RS TEBET,JAKARTA SELATAN
RS SYARIF HIDAYATULLAH,TANGERANG SELATAN
RSU BHAKTI YUDHA,DEPOK
RS MITRA KELUARGA BEKASI BARAT,BEKASI
RS MITRA KELUARGA KEMAYORAN,JAKARTA PUSAT
RS PREMIER JATINEGARA,JAKARTA TIMUR
PRIMAYA HOSPITAL PGI CIKINI,JAKARTA PUSAT
RS KARYA MEDIKA CIBITUNG,BEKASI
RS AN-NISA TANGERANG,TANGERANG
RS PELNI,JAKARTA BARAT
SILOAM HOSPITALS LIPPO VILLAGE (KARAWACI),TANGERANG
RS SARI ASIH KARAWACI,TANGERANG
RS PRIMAYA EVASARI,JAKARTA PUSAT
RS SILOAM SENTOSA BEKASI,BEKASI
RS AGUNG,JAKARTA SELATAN
RS PERTAMINA JAYA,JAKARTA PUSAT
RS JAKARTA MEDICAL CENTER (JMC),JAKARTA SELATAN
RSU HERMINA PASTEUR,BANDUNG
RS PONDOK INDAH,JAKARTA SELATAN
RS PANTI WILASA DR CIPTO,SEMARANG
RS ROEMANI MUHAMMADIYAH,SEMARANG
RS ISLAM ASSYIFA,SUKABUMI
RS HARAPAN BUNDA,JAKARTA TIMUR
RS ANANDA TAMBUN SELATAN,BEKASI
RS BETHESDA YOGYAKARTA,YOGYAKARTA
SILOAM HOSPITALS SURABAYA,SURABAYA
RS DEWI SRI,KARAWANG
RS JAKARTA,JAKARTA SELATAN
RS KARTINI MOJOKERTO,MOJOKERTO
MAYAPADA HOSPITAL TANGERANG,TANGERANG
RSU HERMINA TANGKUBANPRAHU MALANG,MALANG
RS HARAPAN JAYAKARTA,JAKARTA TIMUR
SILOAM HOSPITALS KEBON JERUK,JAKARTA BARAT
RS ISLAM JAKARTA TIMUR (PONDOK KOPI),JAKARTA TIMUR
RS SIMPANGAN DEPOK,DEPOK
RSAB HARAPAN KITA,JAKARTA BARAT
RS TRIA DIPA,JAKARTA SELATAN
RS LARASATI,PAMEKASAN
RS DR OEN SOLO BARU,SUKOHARJO
RSU KASIH IBU SURAKARTA,SURAKARTA (SOLO)
RSIA MELATI HUSADA,MALANG
RS HERMINA BOGOR,BOGOR
RS ABDI WALUYO,JAKARTA PUSAT
RS MITRA KELUARGA SURABAYA,SURABAYA
RS MANUABA,DENPASAR
RS IMMANUEL BANDUNG,BANDUNG
RS MUHAMMADIYAH BANDUNG,BANDUNG
RS MARDI RAHAYU KUDUS,KUDUS
RS KARYA MEDIKA BANTAR GEBANG,BEKASI
RS ST ELISABETH - SEMARANG,SEMARANG
RS MITRA KELUARGA BEKASI TIMUR,BEKASI
RS DARMO,SURABAYA
RS REKSA WALUYA,MOJOKERTO
RS PLUIT,JAKARTA UTARA
RS SETO HASBADI,BEKASI
RS HERMINA BEKASI,BEKASI
RSU KASIH IBU DENPASAR,DENPASAR
RSU MENTENG MITRA AFIA,JAKARTA PUSAT
RS ISLAM SULTAN AGUNG,SEMARANG
RS BHAKTI KARTINI,BEKASI
RS MITRA KELUARGA KELAPA GADING,JAKARTA UTARA
RS ISLAM BOGOR,BOGOR
RS PERKEBUNAN NUSANTARA (PTPN) VIII SUBANG,SUBANG
RS BAPTIS BATU,BATU
RSU BUNDA PURWOKERTO,BANYUMAS
RSU EKA PERMATA HIJAU,JAKARTA BARAT
RS ISLAM KUSTATI,SURAKARTA (SOLO)
RS DR. OEN KANDANG SAPI SOLO,SURAKARTA (SOLO)
RS PRIMA MEDIKA,DENPASAR
RS PURI RAHARJA,DENPASAR
RSIA KEMANG MEDICAL CARE,JAKARTA SELATAN
RS HVA TOELOENGREDJO,KEDIRI
RS DELTA SURYA,SIDOARJO
RS ISLAM AISYIYAH MALANG,MALANG
RS JASA KARTINI,TASIKMALAYA
RS BAYUKARTA,KARAWANG
RS HERMINA DEPOK,DEPOK
RS MITRA KASIH,CIMAHI
RS KATOLIK BUDI RAHAYU BLITAR,BLITAR
RS ISLAM SITI HAJAR SIDOARJO,SIDOARJO
RS SENTRA MEDIKA CIKARANG,BEKASI
RS MELATI TANGERANG,TANGERANG
RS KARTIKA PULOMAS,JAKARTA TIMUR
RS EMC PULOMAS,JAKARTA TIMUR
RS MARY CILEUNGSI HIJAU,BOGOR
RS SARI ASIH BINTARO,TANGERANG SELATAN
RS PELABUHAN CIREBON,CIREBON
RSU HERMINA PANDANARAN SEMARANG,SEMARANG
RS ADVENT BANDUNG,BANDUNG
RS SELAGURI,PADANG
RS ANNISA CIKARANG,BEKASI
RS DHARMA HUSADA,PROBOLINGGO
RS GRAHA JUANDA,BEKASI
RS HARAPAN MAGELANG,MAGELANG
RS QADR,TANGERANG
RS TUGU IBU,DEPOK
RS ISLAM FAISAL MAKASSAR,MAKASSAR
RS KARYA HUSADA CIKAMPEK,KARAWANG
RS TELOGOREJO,SEMARANG
RS PANTI WILASA CITARUM,SEMARANG
RS MEKAR SARI,BEKASI
RS BHAKTI HUSADA CIKARANG,BEKASI
RS HERMINA JATINEGARA,JAKARTA TIMUR
RADJAK HOSPITAL CILEUNGSI,BOGOR
RS HERMINA DAAN MOGOT,JAKARTA BARAT
SILOAM HOSPITALS LIPPO CIKARANG,BEKASI
RS HERMINA KEMAYORAN,JAKARTA PUSAT
RS PRIKASIH,JAKARTA SELATAN
RS PANTAI INDAH KAPUK,JAKARTA UTARA
RADJAK HOSPITAL SALEMBA,JAKARTA PUSAT
RS BELLA,BEKASI
RS AZRA,BOGOR
RS PREMIER BINTARO,TANGERANG SELATAN
RS MATERNA,MEDAN
RSU BUNDA PADANG,PADANG
RS PMI BOGOR,BOGOR
RS SENTRA MEDIKA DEPOK,DEPOK
RS IMMANUEL WAY HALIM,BANDAR LAMPUNG
RS ADVENT LAMPUNG,BANDAR LAMPUNG
RS ADVENT MEDAN,MEDAN
RS SARASWATI,KARAWANG
RS ST VINCENTIUS A PAULO (RS RKZ),SURABAYA
RS SITI KHODIJAH MUHAMMADIYAH SEPANJANG SIDOARJO,SIDOARJO
RS TKIV DR BRATANATA,JAMBI
RS ST THERESIA,JAMBI
RS BUDI KEMULIAAN BATAM,BATAM
RS AWAL BROS BATAM,BATAM
RS SATYA NEGARA,JAKARTA UTARA
RS COLUMBIA ASIA MEDAN,MEDAN
RS SETIA MITRA,JAKARTA SELATAN
RS SEMEN GRESIK,GRESIK
RS KRAMAT 128,JAKARTA PUSAT
RS ST CAROLUS,JAKARTA PUSAT
RS PERTAMINA CIREBON,CIREBON
RS LUDIRA HUSADA TAMA,YOGYAKARTA
RS PKU MUHAMMADIYAH YOGYAKARTA,YOGYAKARTA
RS PANTI NIRMALA,MALANG
RS PERMATA DALIMA SERPONG,TANGERANG SELATAN
RS YOS SUDARSO,PADANG
RS KARYA MEDIKA II,BEKASI
RSU MUTIA SARI,BENGKALIS
RS SANTA MARIA PEKANBARU,PEKANBARU
RS PUSRI,PALEMBANG
RS SARI MULIA,BANJARMASIN
RS RESTU IBU BALIKPAPAN,BALIKPAPAN
RS PERTAMINA BALIKPAPAN,BALIKPAPAN
RS TK II DR RHARDJANTO,BALIKPAPAN
RS DIRGAHAYU,SAMARINDA
RSU WOODWARD (BALA KESELAMATAN),PALU
RS PANCARAN KASIH,MANADO
RS STELLA MARIS MAKASSAR,MAKASSAR
RS EMC GRHA KEDOYA,JAKARTA BARAT
RS HIKMAH,MAKASSAR
RS PERMATA KELUARGA LIPPO CIKARANG,BEKASI
RS MURNI TEGUH ERIA,PEKANBARU
RS ISLAM IBNU SINA PEKANBARU,PEKANBARU
RS MEDIKA UTAMA PERMATA BALIKPAPAN,BALIKPAPAN
RSU MELANIA,BOGOR
